Story ID,Prediction,Rationale
95,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
136,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
59,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
60,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
124,0,The proposed backstory is inconsistent with the primary text. The claim 'The narrator said nothing about Caderousse's actions.' is explicitly contradicted by the novel.
111,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
135,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
27,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
110,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
42,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
56,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
80,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
28,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
101,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
91,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
24,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
119,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
93,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
72,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
16,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
30,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
97,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
22,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
53,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
58,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
81,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
47,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
7,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
121,1,The proposed backstory is consistent with the primary text. The claim 'He heard tales of the merchant Pharaon.' is explicitly supported by the novel.
129,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
51,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
127,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
133,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
52,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
114,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
2,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
33,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
15,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
82,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
37,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
3,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
103,1,The proposed backstory is consistent with the primary text. The claim 'Napoleon climbed toward dictatorship' is explicitly supported by the novel.
94,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
85,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
21,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
49,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
140,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
64,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
131,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
61,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
86,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
38,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
132,1,The proposed backstory is consistent with the primary text. The claim 'He was publishing notes on history and natural philosophy.' is explicitly supported by the novel.
77,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
70,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
115,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
78,1,The proposed backstory is consistent with the primary text. The claim 'The child never forgot the sound of flesh stripped from bone.' is explicitly supported by the novel.
87,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
75,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
44,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
